framework,full_name
Azure-Samples,Azure-Samples/key-vault-java-manage-key-vaults
Azure-Samples,Azure-Samples/compute-java-manage-virtual-machine-scale-sets
Azure-Samples,Azure-Samples/network-java-manage-internal-load-balancers
Azure-Samples,Azure-Samples/compute-java-list-vm-extension-images
Azure-Samples,Azure-Samples/data-lake-store-java-upload-download-get-started
Azure-Samples,Azure-Samples/storage-blob-android-photo-uploader
Azure-Samples,Azure-Samples/event-hubs-java-storm-sender-jms-receiver
Azure-Samples,Azure-Samples/hdinsight-kafka-java-get-started
Azure-Samples,Azure-Samples/storage-java-client-side-encryption
Azure-Samples,Azure-Samples/app-service-java-manage-storage-connections-for-web-apps
Azure-Samples,Azure-Samples/sql-database-java-manage-sql-dbs-in-elastic-pool
Azure-Samples,Azure-Samples/sql-database-java-manage-firewalls-for-sql-databases
Azure-Samples,Azure-Samples/compute-java-create-virtual-machines-across-regions-in-parallel
Azure-Samples,Azure-Samples/sql-database-java-manage-sql-databases-across-regions
Azure-Samples,Azure-Samples/dns-java-host-and-manage-your-domains
Azure-Samples,Azure-Samples/redis-java-manage-cache
Azure-Samples,Azure-Samples/app-service-java-configure-deployment-sources-for-web-apps
Azure-Samples,Azure-Samples/sql-database-java-manage-db
Azure-Samples,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps
Azure-Samples,Azure-Samples/traffic-manager-java-manage-profiles
Azure-Samples,Azure-Samples/app-service-java-manage-web-apps
Azure-Samples,Azure-Samples/application-gateway-java-manage-simple-application-gateways
Azure-Samples,Azure-Samples/application-gateway-java-manage-application-gateways
Azure-Samples,Azure-Samples/compute-java-create-virtual-machines-from-generalized-image-or-specialized-vhd
Azure-Samples,Azure-Samples/app-service-java-manage-data-connections-for-web-apps
Azure-Samples,Azure-Samples/cdn-java-manage-cdn
Azure-Samples,Azure-Samples/app-service-java-manage-web-apps-with-custom-domains
Azure-Samples,Azure-Samples/app-service-java-scale-web-apps
Azure-Samples,Azure-Samples/managed-disk-java-create-virtual-machine-using-custom-image
Azure-Samples,Azure-Samples/managed-disk-java-create-virtual-machine-using-custom-image-from-VHD
Azure-Samples,Azure-Samples/managed-disk-java-create-virtual-machine-using-specialized-disk-from-VHD
Azure-Samples,Azure-Samples/managed-disk-java-create-virtual-machine-using-specialized-disk-from-snapshot
Azure-Samples,Azure-Samples/managed-disk-java-convert-existing-virtual-machines-to-use-managed-disks
Azure-Samples,Azure-Samples/compute-java-manage-virtual-machine-with-unmanaged-disks
Azure-Samples,Azure-Samples/compute-java-manage-virtual-machine-scale-set-with-unmanaged-disks
Azure-Samples,Azure-Samples/resources-java-deploy-virtual-machine-with-managed-disks-using-arm-template
Azure-Samples,Azure-Samples/active-directory-b2c-android-native-appauth
Azure-Samples,Azure-Samples/azure-mobile-apps-android-quickstart
Azure-Samples,Azure-Samples/app-service-java-manage-web-apps-on-linux
Azure-Samples,Azure-Samples/app-service-java-manage-authentication-for-web-apps
Azure-Samples,Azure-Samples/app-service-java-manage-web-apps-on-linux-with-custom-domains
Azure-Samples,Azure-Samples/app-service-java-configure-deployment-sources-for-web-apps-on-linux
Azure-Samples,Azure-Samples/app-service-java-scale-web-apps-on-linux
Azure-Samples,Azure-Samples/app-service-java-manage-storage-connections-for-web-apps-on-linux
Azure-Samples,Azure-Samples/app-service-java-manage-data-connections-for-web-apps-on-linux
Azure-Samples,Azure-Samples/app-service-java-manage-functions
Azure-Samples,Azure-Samples/app-service-java-manage-functions-with-custom-domains
Azure-Samples,Azure-Samples/app-service-java-configure-deployment-sources-for-functions
Azure-Samples,Azure-Samples/app-service-java-manage-authentication-for-functions
Azure-Samples,Azure-Samples/compute-java-manage-vm-async
Azure-Samples,Azure-Samples/storage-java-manage-storage-accounts-async
Azure-Samples,Azure-Samples/compute-java-manage-virtual-machine-scale-sets-async
Azure-Samples,Azure-Samples/network-java-manage-virtual-network-async
Azure-Samples,Azure-Samples/app-service-java-configure-deployment-sources-for-web-apps-async
Azure-Samples,Azure-Samples/service-bus-java-manage-queue-with-basic-features
Azure-Samples,Azure-Samples/service-bus-java-manage-publish-subscribe-with-basic-features
Azure-Samples,Azure-Samples/service-bus-java-manage-with-claims-based-authorization
Azure-Samples,Azure-Samples/service-bus-java-manage-publish-subscribe-with-advanced-features
Azure-Samples,Azure-Samples/service-bus-java-manage-queue-with-advanced-features
Azure-Samples,Azure-Samples/ms-identity-android-native
Azure-Samples,Azure-Samples/active-directory-b2c-android-native-msal
Azure-Samples,Azure-Samples/azure-cosmos-db-graph-java-getting-started
Azure-Samples,Azure-Samples/azure-cosmos-db-mongodb-java-getting-started
Azure-Samples,Azure-Samples/hbase-phoenix-connection-pool
Azure-Samples,Azure-Samples/aad-java-manage-service-principals
Azure-Samples,Azure-Samples/aad-java-manage-passwords
Azure-Samples,Azure-Samples/acr-java-manage-azure-container-registry
Azure-Samples,Azure-Samples/app-service-maven
Azure-Samples,Azure-Samples/app-service-java-deploy-image-from-acr-to-linux
Azure-Samples,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-high-availability
Azure-Samples,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency
Azure-Samples,Azure-Samples/cosmosdb-java-create-documentdb-and-get-mongodb-connection-string
Azure-Samples,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-firewall
Azure-Samples,Azure-Samples/SpeechToText-REST
Azure-Samples,Azure-Samples/key-vault-java-certificate-authentication
Azure-Samples,Azure-Samples/cognitive-services-java-computer-vision-tutorial
Azure-Samples,Azure-Samples/aad-java-manage-resources-from-vm-with-msi
Azure-Samples,Azure-Samples/network-java-use-new-watcher
Azure-Samples,Azure-Samples/search-java-manage-search-service
Azure-Samples,Azure-Samples/network-java-create-simple-internet-facing-load-balancer
Azure-Samples,Azure-Samples/compute-java-manage-resources-from-vm-with-msi-in-aad-group
Azure-Samples,Azure-Samples/aad-java-manage-users-groups-and-roles
Azure-Samples,Azure-Samples/service-fabric-java-quickstart
Azure-Samples,Azure-Samples/compute-java-manage-vmss-in-availability-zones
Azure-Samples,Azure-Samples/compute-java-manage-vms-in-availability-zones
Azure-Samples,Azure-Samples/network-java-manage-network-peering
Azure-Samples,Azure-Samples/network-java-use-network-watcher-to-check-connectivity
Azure-Samples,Azure-Samples/network-java-manage-virtual-network-with-site-to-site-vpn-connection
Azure-Samples,Azure-Samples/network-java-manage-virtual-network-to-virtual-network-vpn-connection
Azure-Samples,Azure-Samples/aci-java-manage-container-instances-1
Azure-Samples,Azure-Samples/aci-java-manage-container-instances-2
Azure-Samples,Azure-Samples/aci-java-create-container-groups
Azure-Samples,Azure-Samples/azure-cosmos-db-cassandra-java-getting-started
Azure-Samples,Azure-Samples/storage-blobs-java-quickstart
Azure-Samples,Azure-Samples/acr-java-manage-azure-container-registry-with-webhooks
Azure-Samples,Azure-Samples/aks-java-deploy-image-from-acr-to-kubernetes
Azure-Samples,Azure-Samples/aks-java-manage-kubernetes-cluster
Azure-Samples,Azure-Samples/acs-java-manage-azure-container-service-with-kubernetes-orchestrator
Azure-Samples,Azure-Samples/acs-java-manage-azure-container-service-with-docker-swarm-orchestrator
Azure-Samples,Azure-Samples/acs-java-deploy-image-from-acr-to-acs-orchestrator
Azure-Samples,Azure-Samples/aci-java-scale-up-containers-using-acs
Azure-Samples,Azure-Samples/compute-java-manage-vm-from-vm-with-msi-credentials
Azure-Samples,Azure-Samples/cognitive-services-java-sdk-samples
Azure-Samples,Azure-Samples/cognitive-services-android-customvision-sample
Azure-Samples,Azure-Samples/locks-java-manage-locks
Azure-Samples,Azure-Samples/compute-java-create-vms-async-tracking-related-resources
Azure-Samples,Azure-Samples/network-java-manage-express-route
Azure-Samples,Azure-Samples/search-java-indexer-demo
Azure-Samples,Azure-Samples/key-vault-java-authentication
Azure-Samples,Azure-Samples/key-vault-java-recovery
Azure-Samples,Azure-Samples/compute-java-manage-user-assigned-msi-enabled-virtual-machine
Azure-Samples,Azure-Samples/compute-java-list-compute-skus
Azure-Samples,Azure-Samples/storage-java-manage-storage-account-network-rules
Azure-Samples,Azure-Samples/batchai-java-run-batchai-job
Azure-Samples,Azure-Samples/monitor-java-query-metrics-activitylogs
Azure-Samples,Azure-Samples/app-service-java-manage-logs-for-function-apps
Azure-Samples,Azure-Samples/app-service-java-access-key-vault-convenience-for-web-apps
Azure-Samples,Azure-Samples/app-service-java-access-key-vault-by-msi-for-web-apps
Azure-Samples,Azure-Samples/network-java-manage-vpn-client-connection
Azure-Samples,Azure-Samples/azure-sdk-for-java-storage-blob-upload-download
Azure-Samples,Azure-Samples/azure-cosmos-db-mongodb-java-geo-readpreference
Azure-Samples,Azure-Samples/azure-cosmos-db-mongodb-spring
Azure-Samples,Azure-Samples/java-docs-hello-world
Azure-Samples,Azure-Samples/eventhub-java-manage-event-hub-geo-disaster-recovery
Azure-Samples,Azure-Samples/sql-database-java-manage-recover-restore-db
Azure-Samples,Azure-Samples/sql-database-java-manage-import-export-db
Azure-Samples,Azure-Samples/eventhub-java-manage-event-hub
Azure-Samples,Azure-Samples/storage-java-ha-ra-grs
Azure-Samples,Azure-Samples/sql-database-java-get-sql-metrics
Azure-Samples,Azure-Samples/sql-database-java-manage-failover-groups
Azure-Samples,Azure-Samples/sql-database-java-manage-sql-secrets-in-key-vault
Azure-Samples,Azure-Samples/sql-database-java-manage-sql-server-dns-aliases
Azure-Samples,Azure-Samples/sql-database-java-manage-virtual-network-rules
Azure-Samples,Azure-Samples/eventhub-java-manage-event-hub-events
Azure-Samples,Azure-Samples/azure-iot-samples-java
Azure-Samples,Azure-Samples/key-vault-java-managed-storage
Azure-Samples,Azure-Samples/active-directory-b2c-android-appauth-ropc
Azure-Samples,Azure-Samples/key-vault-java-network-acl
Azure-Samples,Azure-Samples/event-grid-java-publish-consume-events
Azure-Samples,Azure-Samples/network-java-manage-express-route-cross-connection
Azure-Samples,Azure-Samples/cognitive-services-qnamaker-java
Azure-Samples,Azure-Samples/cognitive-services-face-android-detect
Azure-Samples,Azure-Samples/microprofile-hello-azure
Azure-Samples,Azure-Samples/microprofile-docker-helloworld
Azure-Samples,Azure-Samples/microprofile-configsource-keyvault
Azure-Samples,Azure-Samples/springboot-hello-azure
Azure-Samples,Azure-Samples/azure-cosmos-db-sql-java-multi-master
Azure-Samples,Azure-Samples/monitor-java-autoscale-based-on-performance
Azure-Samples,Azure-Samples/compute-java-manage-scale-set-user-assigned-msi-from-service-principal
Azure-Samples,Azure-Samples/monitor-java-metric-alerts-on-critical-performance
Azure-Samples,Azure-Samples/monitor-java-activitylog-alerts-on-security-breach-or-risk
Azure-Samples,Azure-Samples/Hybrid-resources-java-manage-resource-group
Azure-Samples,Azure-Samples/hybrid-storage-java-manage-storage-accounts
Azure-Samples,Azure-Samples/Hybrid-Java-Samples
