,framework,sample,watcher,watcher_repo
163092,spring-guides,spring-guides/gs-accessing-data-jpa,paulvi,paulvi/com.example.spring.findbyexample
163094,spring-guides,spring-guides/gs-accessing-data-jpa,paulvi,paulvi/com.example.springboot.mavenmoduleformodel
163111,spring-guides,spring-guides/gs-accessing-data-jpa,paulvi,paulvi/SpringDataPostgre
165369,spring-guides,spring-guides/gs-serving-web-content,paleou,paleou/training
169913,spring-guides,spring-guides/gs-producing-web-service,edwint88,edwint88/PlaySoap
170001,spring-guides,spring-guides/gs-producing-web-service,shahbazaamir,shahbazaamir/learn
170056,spring-guides,spring-guides/gs-producing-web-service,nachocastineira,nachocastineira/WebServicesSOAP
170390,spring-guides,spring-guides/gs-producing-web-service,guilhermerodrigues680,guilhermerodrigues680/soap-spring-boot
170414,spring-guides,spring-guides/gs-producing-web-service,major1xu,major1xu/spring-boot-soap-web-service
177583,spring-guides,spring-guides/tut-spring-boot-oauth2,tuhin47,tuhin47/spring-outh2
189692,spring-guides,spring-guides/gs-rest-service,BaReinhard,BaReinhard/java-math-api
189887,spring-guides,spring-guides/gs-rest-service,beatricefar,beatricefar/restapi
189937,spring-guides,spring-guides/gs-rest-service,letiantian,letiantian/learn-spring
190908,spring-guides,spring-guides/gs-rest-service,krishna81m,krishna81m/gs-rest-service
191015,spring-guides,spring-guides/gs-rest-service,blackghostt,blackghostt/cerberoaccounts
192798,spring-guides,spring-guides/gs-accessing-data-mongodb,paulvi,paulvi/com.example.spring.mongodb
192953,spring-guides,spring-guides/gs-accessing-data-mongodb,nate-getch,nate-getch/Enterprise-Arch-Labs
192967,spring-guides,spring-guides/gs-accessing-data-mongodb,yqbjtu,yqbjtu/mongodbTutorial
193254,spring-guides,spring-guides/gs-accessing-data-mongodb,hkj123,hkj123/edwinghu
193338,googlesamples,googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,6v6,6v6/mlappTest
193339,googlesamples,googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,6v6,6v6/smileProject
194049,spring-guides,spring-guides/gs-accessing-data-mongodb,codejcd,codejcd/spring-boot-mongodb-mongorepository-demo
197983,spring-guides,spring-guides/gs-async-method,tuonghv,tuonghv/Java_springboot
201024,spring-guides,spring-guides/gs-crud-with-vaadin,gunerhanale,gunerhanale/springboot-portfolio
207405,googlearchive,googlearchive/android-Camera2Basic,IvonLiu,IvonLiu/fishackathon-2016
207406,googlearchive,googlearchive/android-Camera2Basic,IvonLiu,IvonLiu/focal-distance
207561,googlearchive,googlearchive/android-Camera2Basic,anthonyburdi,anthonyburdi/Android-Data-Logger
207562,googlearchive,googlearchive/android-Camera2Basic,anthonyburdi,anthonyburdi/computer-vision-demo
207763,googlearchive,googlearchive/android-Camera2Basic,DonLiangGit,DonLiangGit/Facetrack
207983,googlearchive,googlearchive/android-Camera2Basic,ishit,ishit/TRig
208082,googlearchive,googlearchive/android-Camera2Basic,mohanrajsambath,mohanrajsambath/CameraWorkSapce
208098,googlearchive,googlearchive/android-Camera2Basic,mohanrajsambath,mohanrajsambath/MyWorkspace
208137,googlearchive,googlearchive/android-Camera2Basic,shun-nakahara,shun-nakahara/Camera2Base
208145,googlearchive,googlearchive/android-Camera2Basic,chonamdoo,chonamdoo/AndroidKaraokeApp
208939,googlearchive,googlearchive/android-Camera2Basic,andrewxu10,andrewxu10/camera-tagger-master
209310,googlearchive,googlearchive/android-Camera2Basic,truongngoclinh,truongngoclinh/ezstreaming
209318,googlearchive,googlearchive/android-Camera2Basic,truongngoclinh,truongngoclinh/StreamingTest
209348,googlearchive,googlearchive/android-Camera2Basic,apMadden,apMadden/conversationalPrototype
209594,googlearchive,googlearchive/android-Camera2Basic,eneim,eneim/Wordy
209636,googlearchive,googlearchive/android-Camera2Basic,wuapnjie,wuapnjie/PoiCamera
209678,googlearchive,googlearchive/android-Camera2Basic,yung-yu,yung-yu/Camera2ApiDemo
209714,googlearchive,googlearchive/android-Camera2Basic,Edeneast13,Edeneast13/AmberCam
209766,googlearchive,googlearchive/android-Camera2Basic,ZackLee,ZackLee/CameraPreviewInFloatview
209811,googlearchive,googlearchive/android-Camera2Basic,baby518,baby518/CameraChecker
209849,googlearchive,googlearchive/android-Camera2Basic,Neilcc,Neilcc/ZMulitimedia
209973,googlearchive,googlearchive/android-Camera2Basic,raulh82vlc,raulh82vlc/Image-Detection-Samples
