framework,path,A,M,D,total_actions,java,properties,jar,xml,bat,md,adoc,yaml,txt,sh,yml,cmd,kt,json,others,build.gradle,pom.xml,travis.yml,AndroidManifest.xml,readme.md
spring,Pucster/gs-spring-boot,2,14,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0
spring,albertolop85/gs-spring-boot,2,12,0,14,10,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
spring,panpan0000/gs-spring-boot,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
spring,premroxx/gs-spring-boot,4,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
spring,tomascgithub/gs-spring-boot,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,mar0x/gs-spring-boot,0,4,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
spring,meysholdt-dummy/gs-spring-boot,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,parkar1901/gs-spring-boot,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,Gerb81/gs-spring-boot,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
spring,madamvenkateswarlu/gs-spring-boot,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
spring,MrBRUE/gs-spring-boot,1,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
spring,factorypreset/gs-spring-boot,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,DaraOladapo/gs-spring-boot,0,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,leaqui/gs-spring-boot,2,7,6,15,0,2,1,2,0,0,0,0,0,0,0,1,0,0,9,5,1,0,0,0
spring,welshstew/gs-spring-boot,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,PaulHaldane/gs-spring-boot,3,10,0,13,1,1,0,1,0,0,0,0,0,0,9,0,0,0,1,0,1,0,0,0
spring,AssurBox/Demo-Java-Api-Client,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
spring,k504866430/gs-spring-boot,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
spring,fabiocsantana/gs-spring-boot,2,1,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring,vighneshpai-yml/gs-spring-boot,0,6,0,6,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
spring,ausarb/gs-spring-boot,4,7,1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0
spring,mohsenm53/gs-spring-boot,1,6,0,7,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
spring,stuartharper/gs-spring-boot,4,9,0,13,6,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0
spring,neocyber/gs-spring-boot,1,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
spring,frizio/gs-spring-boot,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
spring,joelw/gs-spring-boot,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring,huizhang72/gs-spring-boot,9,1,0,10,0,0,0,0,0,2,0,0,0,1,0,0,0,0,7,0,0,0,0,0
spring,gitpod-io/gs-spring-boot,1,4,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
spring,manjunaths069/gs-spring-boot,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring,rrosa-aurea/gs-spring-boot,5,4,0,9,0,0,0,1,0,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0
spring,ankurshukla80/gs-spring-boot,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
spring,daliange/gs-spring-boot,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring,vitprakhar/gs-spring-boot,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
spring,wanghbxxxx/gs-spring-boot,36,2,2,40,17,3,0,3,0,0,1,0,0,0,0,0,0,1,15,1,0,0,0,0
spring,NJeb/gs-spring-boot,0,0,18,18,3,2,2,1,1,0,2,0,0,1,0,1,0,0,6,1,1,0,0,0
spring,Doug-Reed/roulette,11,6,17,34,19,2,2,1,1,0,0,0,0,0,0,1,0,2,6,1,1,0,0,0
spring,chrishowejones/gs-spring-boot,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,hongjsk/gs-spring-boot,3,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
spring,kieranrimmer/gs-spring-boot,74,76,58,208,152,7,5,16,2,5,1,0,0,0,4,3,0,0,24,2,9,0,0,0
spring,danilomendes12/gs-spring-boot,6,5,6,17,8,1,1,2,1,0,1,0,0,0,1,0,0,0,2,1,2,0,0,0
spring,YongjieYang-YY/gs-spring-boot,3,2,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
