framework,sample,full_name,archived,created_at,description,forks,language,open_issues,closed_issues,stars,subscribers,updated_at,watchers,commits,downloads,development_time
Android,googlesamples/easypermissions,quanqiuheike/JsInterface,0.0,2018-04-02 02:40:38,测试GitHub上传,0.0,Java,0.0,0.0,0.0,1.0,2018-04-02 11:19:27,0.0,5.0,0.0,0.0
Android,googlesamples/easypermissions,wzes/Huddle,0.0,2017-09-08 05:38:41,Android 挑战赛项目 一个基于大学生竞赛信息分享组队平台,0.0,Java,0.0,1.0,2.0,2.0,2021-04-10 00:06:09,2.0,46.0,0.0,1309.0
Android,googlesamples/easypermissions,wzes/VMovie,0.0,2017-10-26 02:04:57,一个电影分享的app,0.0,Java,1.0,0.0,1.0,2.0,2018-11-06 07:21:04,1.0,23.0,0.0,376.0
Android,googlesamples/easypermissions,xleix/VersionHelper,0.0,2019-04-30 12:33:08,,0.0,Java,0.0,0.0,0.0,1.0,2019-05-05 07:23:29,0.0,14.0,0.0,4.0
Android,googlesamples/easypermissions,kangtong/TravelCarryTreasure,0.0,2017-05-02 11:02:29,,0.0,Java,0.0,0.0,0.0,1.0,2017-12-11 03:18:52,0.0,2.0,0.0,222.0
Android,googlesamples/easypermissions,lzyang187/AndroidPermission,0.0,2018-07-30 10:37:04,Android6.0运行时权限库，基于EasyPermisssion,1.0,Java,0.0,0.0,0.0,1.0,2018-07-30 10:39:50,0.0,2.0,0.0,0.0
Android,googlesamples/easypermissions,dujianchi/Core,0.0,2019-03-22 05:36:22,My new Android Base Core,1.0,Java,1.0,0.0,0.0,1.0,2021-11-16 01:35:05,0.0,195.0,0.0,969.0
Android,googlesamples/easypermissions,dujianchi/CoreApp,0.0,2018-02-02 16:35:04,Android常用的一些类，app模块内为随意的测试代码，从来都不重要，core才是重点,0.0,Java,0.0,1.0,0.0,1.0,2019-03-26 15:16:39,0.0,169.0,0.0,416.0
Android,googlesamples/easypermissions,liuxin1234/EasyReadingAndroid,0.0,2018-03-16 05:43:33,轻松阅项目,0.0,Java,0.0,0.0,0.0,1.0,2018-03-29 07:26:23,0.0,1.0,0.0,13.0
Android,googlesamples/easypermissions,liuxin1234/EasyReadingAndroidMVP,0.0,2018-07-18 01:07:52,轻松阅项目上传,0.0,Java,0.0,0.0,0.0,1.0,2019-12-20 01:14:38,0.0,4.0,0.0,520.0
Android,googlesamples/easypermissions,liuxin1234/NbVolunteerAndroidWork,0.0,2017-02-15 08:45:55,,0.0,Java,0.0,0.0,0.0,0.0,2019-10-31 02:48:51,0.0,24.0,0.0,987.0
Android,googlesamples/easypermissions,66668/PermissionStudy,0.0,2018-05-30 03:25:46,(（2）+（3）多权限拒绝还有bug，后期修改)动态权限学习总结：（1）所有权限的使用注释，危险权限组（2）原生权限代码的单个多个申请，各种拒绝，连续拒绝的再次打开申请/（3）两种简单的封装方式/（4）两个特殊权限的特殊代码申请/（5）不同手机厂商手动打开权限的工具类/（6）最火的四个第三方框架的权限申请（PermissionDispatcher未做），请阅读README，一步到位，还不拿回去用,0.0,Java,0.0,0.0,0.0,2.0,2021-03-09 10:22:54,0.0,24.0,0.0,1014.0
Android,googlesamples/easypermissions,zhuzhushang/common_dialog,0.0,2021-02-28 15:28:12,a common dialog,0.0,Java,0.0,0.0,0.0,1.0,2021-09-01 03:40:03,0.0,3.0,0.0,184.0
Android,googlesamples/easypermissions,gooderman/common-as,0.0,2017-07-22 10:50:51,android studio project (umshare recordmp3 sdks),0.0,Java,0.0,0.0,0.0,0.0,2018-05-23 09:32:52,0.0,28.0,0.0,304.0
Android,googlesamples/easypermissions,RahulJanagouda/GeoAlert,0.0,2018-02-26 20:35:41,,1.0,Java,0.0,0.0,1.0,1.0,2020-04-20 16:27:44,1.0,8.0,0.0,783.0
Android,googlesamples/easypermissions,loongX/AndroidDemo,0.0,2017-06-21 16:29:31,Android代码练习,0.0,Java,0.0,0.0,0.0,2.0,2018-06-04 15:49:01,0.0,144.0,0.0,347.0
Android,googlesamples/easypermissions,jinhuizxc/EasyPermissions,0.0,2019-04-11 09:29:17,easypermissions,0.0,Java,0.0,0.0,0.0,0.0,2019-06-03 03:48:27,0.0,3.0,0.0,52.0
Android,googlesamples/easypermissions,jinhuizxc/EasyPermissionTest,0.0,2019-06-03 03:52:28,,0.0,Java,0.0,0.0,0.0,0.0,2019-06-03 03:52:40,0.0,1.0,0.0,0.0
Android,googlesamples/easypermissions,Demo-H/Android,0.0,2018-07-27 09:58:49,基本电商框架和公共类库,2.0,Java,0.0,0.0,0.0,2.0,2018-08-06 01:39:01,0.0,7.0,0.0,9.0
Android,googlesamples/easypermissions,Demo-H/Manager,0.0,2019-02-03 03:21:53,管理app,0.0,Java,0.0,0.0,0.0,2.0,2019-02-03 03:28:20,0.0,2.0,0.0,0.0
Android,googlesamples/easypermissions,Demo-H/Tup,0.0,2018-06-15 03:09:11,,0.0,Java,0.0,0.0,0.0,2.0,2019-02-03 03:21:13,0.0,5.0,0.0,233.0
Android,googlesamples/easypermissions,Demo-H/Tup,0.0,2018-06-15 03:09:11,,0.0,Java,0.0,0.0,0.0,2.0,2019-02-03 03:21:13,0.0,5.0,0.0,233.0
Android,googlesamples/easypermissions,watayouxiang/Permission,0.0,2019-06-20 01:10:56,安卓权限申请工具,0.0,Java,0.0,0.0,0.0,0.0,2021-12-17 06:26:47,0.0,77.0,0.0,911.0
Android,googlesamples/easypermissions,dabingZhang/Scan,0.0,2021-10-14 11:30:56,扫描小助手,0.0,Java,0.0,0.0,0.0,1.0,2021-10-14 11:31:39,0.0,1.0,0.0,0.0
Android,googlesamples/easypermissions,xdjm/AS2Aide,0.0,2017-07-15 00:43:24,tools,0.0,Java,0.0,0.0,7.0,4.0,2021-06-04 23:09:01,7.0,6.0,0.0,1420.0
Android,googlesamples/easypermissions,blezede/EasyPermissions,0.0,2019-03-12 09:05:49,简易动态权限申请工具,1.0,Java,0.0,0.0,1.0,0.0,2022-03-25 02:05:48,1.0,18.0,0.0,1108.0
Android,googlesamples/easypermissions,zyy123392/anjian_Andriod,0.0,2019-05-24 01:40:05,基于安卓的安检小程序。集成了了扫一扫，日历控件和语音识别,0.0,Java,0.0,0.0,1.0,0.0,2019-12-20 06:47:51,1.0,6.0,0.0,210.0
Android,googlesamples/easypermissions,JamesGZM/easypermissions,0.0,2020-01-03 00:50:15,权限库适配开始时的大小问题,0.0,Java,0.0,0.0,0.0,1.0,2020-05-18 07:01:03,0.0,11.0,0.0,136.0
Android,googlesamples/easypermissions,13018585117/HXYPay,0.0,2020-03-18 01:53:02,好信用App,1.0,Java,0.0,0.0,0.0,1.0,2020-03-18 01:53:29,0.0,1.0,0.0,0.0
Android,googlesamples/easypermissions,flayone/MyPersonalDemo,0.0,2018-01-19 03:09:16,平时练习内容 主要是kotlin+ConstraintLayout,0.0,Java,0.0,0.0,0.0,2.0,2019-08-16 09:13:10,0.0,52.0,0.0,574.0
Android,googlesamples/easypermissions,jaychou2012/PolicyLib,0.0,2019-12-08 08:13:40,权限申请和隐私政策弹窗提示库,10.0,Java,1.0,0.0,38.0,1.0,2022-03-23 07:01:04,38.0,35.0,0.0,835.0
Android,googlesamples/androidtv-sample-inputs,Fleker/ChannelSurfer,0.0,2016-01-07 06:46:20,Very simple Live Channels library for Android TV,10.0,Java,6.0,27.0,45.0,11.0,2022-02-07 09:41:21,45.0,53.0,0.0,2223.0
Android,googlesamples/androidtv-sample-inputs,Fleker/CumulusTV,0.0,2015-07-13 06:34:18,Android TV Live Channel Plugin with user-entered stream files,71.0,Java,63.0,246.0,176.0,26.0,2022-02-17 02:52:19,176.0,285.0,0.0,2410.0
Android,googlesamples/androidtv-sample-inputs,prashant31191/AzGallary,0.0,2017-09-12 05:07:31,,0.0,Java,0.0,0.0,0.0,1.0,2017-09-13 06:42:27,0.0,2.0,0.0,1.0
Android,googlesamples/androidtv-sample-inputs,prashant31191/AzGallary2,0.0,2017-09-13 06:24:49,,0.0,Java,0.0,0.0,0.0,1.0,2017-09-13 07:26:24,0.0,1.0,0.0,0.0
Android,googlesamples/androidtv-sample-inputs,mkjensen/danish-media-license,0.0,2016-02-27 05:12:34,App for Android TV that provides access to videos available to everyone that pays the Danish media license,0.0,Java,19.0,15.0,3.0,1.0,2019-07-07 19:44:42,3.0,221.0,0.0,1226.0
Android,googlesamples/androidtv-sample-inputs,diegofn/ColombiaTV-AndroidTV,0.0,2017-06-19 14:51:28,"ColombiaTV is a multimedia project to integrate Colombian live or ondemand contenct to enrich platforms as Kodi, Android and iOS.",0.0,Java,2.0,0.0,3.0,2.0,2019-08-08 00:58:07,3.0,11.0,0.0,779.0
Android,googlesamples/androidtv-sample-inputs,h4091/WliveTV,0.0,2016-06-07 01:59:30,基于ijkplayer的视频直播软件,98.0,Java,0.0,0.0,1.0,1.0,2021-08-29 03:54:47,1.0,7.0,0.0,1909.0
Android,googlesamples/android-vision,takahirom/PlayQRCode,0.0,2015-08-20 16:06:32,,0.0,Java,0.0,0.0,1.0,1.0,2016-04-29 12:58:14,1.0,7.0,0.0,252.0
Android,googlesamples/android-vision,DonLiangGit/Facetrack,0.0,2017-05-04 22:12:44,examples repository of google vision api with camera2 api,0.0,Java,0.0,0.0,1.0,2.0,2017-11-17 08:18:53,1.0,2.0,0.0,196.0
Android,googlesamples/android-vision,Gnzlt/AndroidVisionQRReader,0.0,2015-09-17 11:19:47,QR Reader Library based on Android Vision API,7.0,Java,0.0,2.0,18.0,3.0,2021-12-15 23:12:57,18.0,6.0,0.0,2281.0
Android,googlesamples/android-vision,mitola/Do_you_smile,0.0,2015-11-15 22:03:06,A finished example of an Android application using Google Vision API together with everything else setup. The main point from Google Vision API used is the Smile probability,3.0,Java,0.0,0.0,1.0,0.0,2020-05-20 08:44:42,1.0,8.0,0.0,1647.0
Android,googlesamples/android-vision,hnaoto/BookTracker-Alpha,0.0,2015-10-22 01:18:26,Android app: BookTracker,0.0,Java,0.0,0.0,0.0,2.0,2015-10-22 01:20:13,0.0,2.0,0.0,0.0
Android,googlesamples/android-vision,wax911/Vision-Barcode-Scanner,0.0,2016-06-21 13:18:21,Customized Google Vision API Barcode Scanner,27.0,Java,3.0,2.0,31.0,5.0,2021-02-11 20:52:33,31.0,15.0,0.0,1696.0
Android,googlesamples/android-vision,prathanbomb/mlkit-vision-quickstart,0.0,2021-06-22 05:54:40,,0.0,Java,0.0,0.0,0.0,1.0,2021-06-22 05:57:22,0.0,2.0,0.0,0.0
Android,googlesamples/android-vision,zhorizon/SuperDuo,0.0,2015-12-06 14:50:34,,0.0,Java,0.0,0.0,0.0,1.0,2015-12-06 14:52:07,0.0,2.0,0.0,0.0
Android,googlesamples/android-vision,hbaxamoosa/alexandria,0.0,2015-11-11 19:09:52,Alexandria application for Udacity Android NanoDegree. https://www.udacity.com/course/android-developer-nanodegree--nd801,0.0,Java,0.0,0.0,0.0,1.0,2016-02-01 19:48:44,0.0,6.0,0.0,82.0
Android,googlesamples/android-vision,kuanyingchou/udacity-barcode,0.0,2016-01-02 01:12:28,,0.0,Java,0.0,0.0,0.0,1.0,2016-01-02 01:13:13,0.0,4.0,0.0,0.0
Android,googlesamples/android-vision,miguelcamposdev/pmdm,0.0,2015-10-01 11:25:30,,3.0,Java,0.0,0.0,0.0,1.0,2016-01-18 11:58:12,0.0,31.0,0.0,109.0
Android,googlesamples/android-vision,mananwason/Re.Wise,0.0,2018-09-09 10:49:29,App that makes questions using photos from readings at school etc.,0.0,Java,0.0,0.0,0.0,0.0,2018-09-09 14:48:34,0.0,3.0,0.0,0.0
Android,googlesamples/android-vision,IhorKlimov/Alexandria_Udacity,0.0,2016-01-16 20:15:46,An Android barcore book scanner app,0.0,Java,0.0,0.0,0.0,1.0,2016-01-27 16:26:41,0.0,14.0,0.0,10.0
Android,googlesamples/android-vision,jbc25/boniatillo,0.0,2021-06-16 10:31:36,"Proyecto ""tiempo social por moneda"" de ACPP",0.0,Java,0.0,1.0,0.0,2.0,2021-06-16 10:41:53,0.0,5.0,0.0,0.0
Android,googlesamples/android-vision,yatatsu/PrettyQR,0.0,2017-09-15 09:30:22,[WIP] Android application,0.0,Java,0.0,0.0,0.0,2.0,2017-09-15 09:35:24,0.0,6.0,0.0,0.0
Android,googlesamples/android-vision,Hatem-tmi/food-facts,0.0,2018-08-17 23:12:48,A small Android application that connects to world.openfoodfacts.org HTTP API. This API provides product informations based on barcode number.,1.0,Java,0.0,0.0,0.0,1.0,2020-06-15 12:41:28,0.0,2.0,0.0,667.0
Android,googlesamples/android-vision,pdrogfer/alexandria,0.0,2016-01-15 08:15:08,Udacity project app to retrieve book info based on ISBN number scan,0.0,Java,0.0,0.0,1.0,2.0,2016-03-24 04:39:51,1.0,17.0,0.0,68.0
